secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
4528,0,102,26.9894,49.8024,0,0,74.6,-1.67009300,53.82530100,0,-6.14586,10,0,-255,0,0,0,0,0,0,0,0
4529,0,102,27.0029,49.644,0,0,74,-1.66990400,53.82525400,0,-6.13917,10,0,-255,0,0,0,0,0,0,0,0
4530,0,102,27.0153,48.5856,0,0,73.2,-1.66973400,53.82520900,0,-6.03245,10,0,-255,0,0,0,0,0,0,0,0
4531,0,102,27.0276,47.2752,0,0,72.6,-1.66956700,53.82515600,0,-5.90957,10,0,-255,0,0,0,0,0,0,0,0
4532,0,102,27.0397,46.0872,0,0,71.8,-1.66940600,53.82510600,0,-5.99102,10,0,-255,0,0,0,0,0,0,0,0
4533,0,102,27.051,44.3232,0,0,71,-1.66925400,53.82505800,0,-6.2794,10,0,-255,0,0,0,0,0,0,0,0
4534,0,102,27.0621,42.6024,0,0,70.2,-1.66910500,53.82501200,0,-6.2702,10,0,-255,0,0,0,0,0,0,0,0
4535,0,102,27.0728,41.4288,0,0,69.6,-1.66896200,53.82496600,0,-6.25123,10,0,-255,0,0,0,0,0,0,0,0
4536,0,102,27.0828,39.7224,0,0,68.8,-1.66882800,53.82492200,0,-6.48785,10,0,-255,0,0,0,0,0,0,0,0
4537,0,102,27.0921,37.7352,0,0,68,-1.66870400,53.82488300,0,-6.47216,10,0,-255,0,0,0,0,0,0,0,0
4538,0,102,27.1005,35.6328,0,0,67.4,-1.66859100,53.82484700,0,-6.6025,10,0,-255,0,0,0,0,0,0,0,0
